sample_id,site,treatment,position,replicate,date.coll,region
400,ST1,SH,B,2,20201023,ST
401,ST1,SH,B,3,20201023,ST
402,ST4,CV,A,1,20201021,ST
403,ST4,CV,A,2,20201021,ST
404,ST4,CV,A,3,20201021,ST
405,ST4,SH,A,1,20201021,ST
406,ST4,SH,A,2,20201021,ST
407,ST4,SH,A,3,20201021,ST
408,ST4,UD,A,1,20201021,ST
409,ST4,UD,A,2,20201021,ST
410,ST4,UD,A,3,20201021,ST
411,ST4,CV,B,1,20201021,ST
412,ST4,CV,B,2,20201021,ST
413,ST4,CV,B,3,20201021,ST
414,ST4,SH,B,1,20201021,ST
415,ST4,SH,B,2,20201021,ST
416,ST4,SH,B,3,20201021,ST
417,MW1,SH,A,1,20201026,MW
418,MW1,SH,A,2,20201026,MW
419,MW1,SH,A,3,20201026,MW
420,MW1,CV,A,1,20201026,MW
421,MW1,CV,A,2,20201026,MW
422,MW1,CV,A,3,20201026,MW
423,MW1,UD,A,1,20201026,MW
424,MW1,UD,A,2,20201026,MW
425,MW1,UD,A,3,20201026,MW
426,MW1,SH,B,1,20201026,MW
427,MW1,SH,B,2,20201026,MW
428,MW1,SH,B,3,20201026,MW
429,MW1,CV,B,1,20201026,MW
430,MW1,CV,B,2,20201026,MW
431,MW1,CV,B,3,20201026,MW
432,MW1,UD,B,1,20201026,MW
433,MW1,UD,B,2,20201026,MW
434,MW1,UD,B,3,20201026,MW
435,MW2,SH,A,1,20201026,MW
436,MW2,SH,A,2,20201026,MW
437,MW2,SH,A,3,20201026,MW
438,MW2,CV,A,1,20201026,MW
439,MW2,CV,A,2,20201026,MW
440,MW2,CV,A,3,20201026,MW
441,MW2,UD,A,1,20201026,MW
442,MW2,UD,A,2,20201026,MW
443,MW2,UD,A,3,20201026,MW
444,MW2,SH,B,1,20201026,MW
445,MW2,SH,B,2,20201026,MW
446,MW2,SH,B,3,20201026,MW
447,MW2,CV,B,1,20201026,MW
448,MW2,CV,B,2,20201026,MW
449,MW2,CV,B,3,20201026,MW
450,MW2,UD,B,1,20201026,MW
451,MW2,UD,B,2,20201026,MW
452,MW2,UD,B,3,20201026,MW
453,MW3,SH,A,1,20201026,MW
454,MW3,SH,A,2,20201026,MW
455,MW3,SH,A,3,20201026,MW
456,MW3,CV,A,1,20201026,MW
457,MW3,CV,A,2,20201026,MW
458,MW3,CV,A,3,20201026,MW
459,MW3,UD,A,1,20201026,MW
460,MW3,UD,A,2,20201026,MW
461,MW3,UD,A,3,20201026,MW
462,MW3,SH,B,1,20201026,MW
463,MW3,SH,B,2,20201026,MW
464,MW3,SH,B,3,20201026,MW
465,MW3,CV,B,1,20201026,MW
466,MW3,CV,B,2,20201026,MW
467,MW3,CV,B,3,20201026,MW
468,MW3,UD,B,1,20201026,MW
469,MW3,UD,B,2,20201026,MW
470,MW3,UD,B,3,20201026,MW
471,MW4,SH,A,1,20201026,MW
472,MW4,SH,A,2,20201026,MW
473,MW4,SH,A,3,20201026,MW
474,MW4,CV,A,1,20201026,MW
475,MW4,CV,A,2,20201026,MW
476,MW4,CV,A,3,20201026,MW
477,MW4,UD,A,1,20201026,MW
478,MW4,UD,A,2,20201026,MW
479,MW4,UD,A,3,20201026,MW
480,MW4,SH,B,1,20201026,MW
481,MW4,SH,B,2,20201026,MW
482,MW4,SH,B,3,20201026,MW
483,MW4,CV,B,1,20201026,MW
484,MW4,CV,B,2,20201026,MW
485,MW4,CV,B,3,20201026,MW
486,MW4,UD,B,1,20201026,MW
487,MW4,UD,B,2,20201026,MW
488,MW4,UD,B,3,20201026,MW
SAA-SH1,SAA,SH,,,,MW
SAA-SH2,SAA,SH,,,,MW
SAA-SH3,SAA,SH,,,,MW
SAA-BM1,SAA,UD,,,,MW
SAA-BM2,SAA,UD,,,,MW
SAA-BM3,SAA,UD,,,,MW
SAA-CV1,SAA,CV,,,,MW
SAA-CV2,SAA,CV,,,,MW
SAA-CV3,SAA,CV,,,,MW
