weigh_date,sample_id,mass,run_date ,person
20211228,369,2.49,20211231,HB
20211228,370,2.49,20211231,HB
20211228,371,2.53,20211231,HB
20211228,372,2.49,20211231,HB
20211228,373,2.53,20211231,HB
20211228,374,2.5,20211231,HB
20211228,375,2.55,20211231,HB
20211228,376,2.55,20211231,HB
20211228,377,2.53,20211231,HB
20211228,378,2.49,20211231,HB
20211228,379,2.51,20211231,HB
20211228,380,2.49,20211231,HB
20211228,381,2.52,20211231,HB
20211228,382,2.55,20211231,HB
20211228,383,2.54,20211231,HB
20211231,soil_std,2.51,20211231,HB
20211228,384,2.55,20211231,HB
20211228,385,2.5,20211231,HB
20211228,386,2.52,20211231,HB
20211228,387,2.52,20211231,HB
20211228,388,2.53,20211231,HB
20211228,SAA-SH1,2.54,20211231,SAA 2020
20211228,SAA-SH2,2.52,20211231,SAA 2020
20211228,SAA-SH3,2.5,20211231,SAA 2020
20211228,SAA-BM1,2.52,20211231,SAA 2020
20211228,SAA-BM2,2.51,20211231,SAA 2020
20211228,SAA-BM3,2.49,20211231,SAA 2020
20211228,SAA-CV1,2.51,20211231,SAA 2020
20211228,SAA-CV2,2.5,20211231,SAA 2020
20211228,SAA-CV3,2.49,20211231,SAA 2020
20211228,SAA-1M,2.54,20211231,SAA 2020
20211228,SAA-2M,2.52,20211231,SAA 2020
20211228,SAA-3M,2.5,20211231,SAA 2020
20211228,SAA-4M,2.52,20211231,SAA 2020
20211228,SAA-5M,2.49,20211231,SAA 2020
20211228,SAA-6M,2.51,20211231,SAA 2020
20211228,SAA-7M,2.54,20211231,SAA 2020
20211228,SAA-8M,2.5,20211231,SAA 2020
20211228,SAA-9M,2.54,20211231,SAA 2020
20211228,SAA-10M,2.5,20211231,SAA 2020
20211228,SAA-11M,2.5,20211231,SAA 2020
20211228,SAA-12M,2.5,20211231,SAA 2020
20211228,SAA-13M,2.52,20211231,SAA 2020
20211228,SAA-14M,2.53,20211231,SAA 2020
20211228,SAA-15M,2.48,20211231,SAA 2020
20211228,SAA-16M,2.53,20211231,SAA 2020
20211228,SAA-17M,2.49,20211231,SAA 2020
20211228,SAA-18M,2.54,20211231,SAA 2020
20211228,SAA-19M,2.51,20211231,SAA 2020
20211228,SAA-20M,2.52,20211231,SAA 2020
20211201,389,2.54,20211217,HB
20211201,390,2.63,20211217,HB
20211217,soil_std,2.51,20211217,HB
20211201,391,2.53,20211217,HB
20211201,392,2.53,20211217,HB
20211201,393,2.49,20211217,HB
20211201,394,2.53,20211217,HB
20211201,395,2.5,20211217,HB
20211201,396,2.52,20211217,HB
20211201,397,2.48,20211217,HB
20211201,398,2.49,20211217,HB
20211201,399,2.48,20211217,HB
20211201,400,2.52,20211217,HB
20211201,401,2.52,20211217,HB
20211201,402,2.49,20211217,HB
20211201,403,2.5,20211217,HB
20211201,404,2.52,20211217,HB
20211201,405,2.49,20211217,HB
20211201,406,2.52,20211217,HB
20211201,407,2.53,20211217,HB
20211201,408,2.47,20211217,HB
20211201,409,2.51,20211217,HB
20211201,410,2.53,20211217,HB
20211201,411,2.51,20211217,HB
20211201,412,2.51,20211217,HB
20211201,413,2.51,20211217,HB
20211201,414,2.51,20211220,HB
20211201,soil_std,2.49,20211220,HB
20211201,415,2.49,20211220,HB
20211201,416,2.49,20211220,HB
20211201,417,2.5,20211220,HB
20211201,418,2.48,20211220,HB
20211201,419,2.5,20211220,HB
20211201,420,2.5,20211220,HB
20211201,421,2.52,20211220,HB
20211201,422,2.52,20211220,HB
20211201,423,2.54,20211220,HB
20211201,424,2.48,20211220,HB
20211201,425,2.54,20211220,HB
20211201,426,2.54,20211220,HB
20211201,427,2.52,20211220,HB
20211201,428,2.5,20211220,HB
20211201,429,2.48,20211220,HB
20211201,430,2.5,20211220,HB
20211201,431,2.51,20211220,HB
20211201,432,2.52,20211220,HB
20211201,433,2.48,20211220,HB
20211201,434,2.51,20211220,HB
20211201,435,2.52,20211220,HB
20211201,436,2.52,20211220,HB
20211201,437,2.54,20211220,HB
20211201,438,2.52,20211220,HB
20211201,439,2.5,20211220,HB
20211201,440,2.51,20211220,HB
20211201,441,2.48,20211220,HB
20211201,442,2.48,20211220,HB
20211201,443,2.53,20211220,HB
20211201,444,2.51,20211220,HB
20211201,445,2.48,20211220,HB
20211201,soil_std1,2.52,20211220,HB
20211201,446,2.5,20211220,HB
20211201,447,2.48,20211220,HB
20211201,448,2.49,20211220,HB
